state,city,cases,solve,rate
South Carolina,Union,1474,1132,0.76797829036635
South Carolina,Williamsburg,165,144,0.8727272727272727
South Carolina,York,925,780,0.8432432432432433
South Carolina,Lee,1751,1405,0.8023986293546544
South Dakota,Pennington,107,98,0.9158878504672897
South Dakota,Bennett,3,3,1
South Dakota,Charles Mix,10,10,1
South Dakota,Fall River,5,5,1
South Dakota,Minnehaha,100,90,0.9
South Dakota,Codington,9,8,0.8888888888888888
South Dakota,Custer,84,76,0.9047619047619048
South Dakota,Hughes,93,89,0.956989247311828
South Dakota,Lawrence,365,293,0.8027397260273973
South Dakota,Lyman,1,1,1
South Dakota,Walworth,62,59,0.9516129032258065
South Dakota,Day,3,2,0.6666666666666666
South Dakota,Lincoln,637,533,0.8367346938775511
South Dakota,Miner,6,6,1
South Dakota,Union,1474,1132,0.76797829036635
South Dakota,Hutchinson,32,27,0.84375
South Dakota,Brown,236,207,0.8771186440677966
South Dakota,Beadle,3,2,0.6666666666666666
South Dakota,Clay,486,408,0.8395061728395061
South Dakota,Jackson,5564,3941,0.7083033788641265
South Dakota,Marshall,297,264,0.8888888888888888
South Dakota,Meade,25,20,0.8
South Dakota,Edmunds,9,9,1
South Dakota,Yankton,12,12,1
South Dakota,Butte,330,266,0.806060606060606
South Dakota,Davison,5,4,0.8
South Dakota,Harding,2,2,1
South Dakota,Lake,3854,2235,0.5799169693824597
South Dakota,Perkins,1,1,1
South Dakota,Moody,2,2,1
South Dakota,Bon Homme,1,1,1
South Dakota,Tripp,1,1,1
South Dakota,Brookings,4,4,1
South Dakota,Deuel,6,3,0.5
South Dakota,Stanley,2,1,0.5
South Dakota,Roberts,5,5,1
South Dakota,Douglas,1087,865,0.795768169273229
South Dakota,Hyde,12,12,1
South Dakota,Potter,605,518,0.856198347107438
South Dakota,Sanborn,1,1,1
South Dakota,McCook,1,1,1
South Dakota,Faulk,1,1,1
South Dakota,Turner,14,12,0.8571428571428571
South Dakota,Hanson,1,1,1
South Dakota,Sully,1,1,1
South Dakota,Hamlin,1,1,1
Tennessee,Anderson,761,686,0.9014454664914586
Tennessee,Bedford,160,144,0.9
Tennessee,Benton,353,310,0.8781869688385269
Tennessee,Bledsoe,13,10,0.7692307692307693
Tennessee,Blount,116,103,0.8879310344827587
Tennessee,Bradley,161,138,0.8571428571428571
Tennessee,Campbell,249,223,0.8955823293172691
Tennessee,Carroll,398,357,0.8969849246231156
Tennessee,Claiborne,142,125,0.8802816901408451
Tennessee,Cocke,85,71,0.8352941176470589
Tennessee,Coffee,224,183,0.8169642857142857
Tennessee,Crockett,42,34,0.8095238095238095
Tennessee,Cumberland,1793,1383,0.7713329615170106
Tennessee,Davidson,3106,2446,0.7875080489375402
Tennessee,Decatur,116,106,0.9137931034482759
Tennessee,Dyer,63,58,0.9206349206349206
Tennessee,Fayette,1024,817,0.7978515625
Tennessee,Fentress,19,16,0.8421052631578947
Tennessee,Franklin,4793,3387,0.7066555393281869
Tennessee,Gibson,98,90,0.9183673469387755
Tennessee,Giles,70,64,0.9142857142857143
Tennessee,Greene,793,687,0.8663303909205549
Tennessee,Hamblen,90,85,0.9444444444444444
Tennessee,Hamilton,3019,2226,0.7373302418019212
Tennessee,Hardeman,69,63,0.9130434782608695
Tennessee,Hardin,240,203,0.8458333333333333
Tennessee,Haywood,95,81,0.8526315789473684
Tennessee,Henry,548,483,0.8813868613138686
Tennessee,Houston,497,430,0.8651911468812877
Tennessee,Humphreys,42,41,0.9761904761904762
Tennessee,Knox,1196,961,0.8035117056856187
Tennessee,Lake,3854,2235,0.5799169693824597
Tennessee,Lauderdale,453,375,0.8278145695364238
Tennessee,Lawrence,365,293,0.8027397260273973
Tennessee,Lewis,162,139,0.8580246913580247
Tennessee,Lincoln,637,533,0.8367346938775511
Tennessee,Loudon,34,26,0.7647058823529411
Tennessee,McMinn,81,73,0.9012345679012346
Tennessee,Macon,286,238,0.8321678321678322
Tennessee,Madison,1713,1426,0.8324576765907764
Tennessee,Marshall,297,264,0.8888888888888888
Tennessee,Maury,170,143,0.8411764705882353
Tennessee,Meigs,21,18,0.8571428571428571
Tennessee,Monroe,2447,1695,0.6926849203105844
Tennessee,Montgomery,5035,3910,0.7765640516385303
Tennessee,Morgan,328,271,0.8262195121951219
Tennessee,Obion,38,36,0.9473684210526315
Tennessee,Overton,22,21,0.9545454545454546
Tennessee,Putnam,383,312,0.814621409921671
Tennessee,Rhea,36,34,0.9444444444444444
Tennessee,Roane,101,94,0.9306930693069307
Tennessee,Robertson,170,151,0.888235294117647
Tennessee,Rutherford,297,239,0.8047138047138047
Tennessee,Sevier,115,105,0.9130434782608695
Tennessee,Shelby,5900,4980,0.8440677966101695
Tennessee,Stewart,21,16,0.7619047619047619
Tennessee,Sullivan,361,327,0.9058171745152355
Tennessee,Sumner,132,123,0.9318181818181818
Tennessee,Tipton,65,54,0.8307692307692308
Tennessee,Van Buren,168,138,0.8214285714285714
Tennessee,Warren,716,613,0.8561452513966481
Tennessee,Washington,2302,2008,0.8722849695916595
Tennessee,Wayne,19904,12679,0.6370076366559485
Tennessee,Weakley,41,37,0.9024390243902439
Tennessee,White,173,156,0.9017341040462428
Tennessee,Williamson,244,208,0.8524590163934426
Tennessee,Wilson,380,315,0.8289473684210527
Tennessee,Cannon,12,10,0.8333333333333334
Tennessee,Carter,206,187,0.9077669902912622
Tennessee,DeKalb,42,37,0.8809523809523809
Tennessee,Dickson,42,38,0.9047619047619048
Tennessee,Grundy,43,37,0.8604651162790697
Tennessee,Henderson,396,358,0.9040404040404041
Tennessee,Hickman,33,27,0.8181818181818182
Tennessee,Johnson,542,459,0.8468634686346863
Tennessee,Marion,5241,3839,0.732493798893341
Tennessee,Trousdale,13,12,0.9230769230769231
Tennessee,Unicoi,13,13,1
Tennessee,Cheatham,29,24,0.8275862068965517
Tennessee,Chester,430,336,0.7813953488372093
Tennessee,Grainger,31,27,0.8709677419354839
Tennessee,Moore,196,176,0.8979591836734694
Tennessee,Sequatchie,15,14,0.9333333333333333
Tennessee,Smith,502,416,0.8286852589641435
Tennessee,Union,1474,1132,0.76797829036635
Tennessee,Hancock,162,136,0.8395061728395061
Tennessee,Hawkins,43,40,0.9302325581395349
Tennessee,McNairy,15,15,1
Tennessee,Perry,285,237,0.8315789473684211
Tennessee,Polk,1818,1473,0.8102310231023102
Tennessee,Clay,486,408,0.8395061728395061
Tennessee,Jefferson,9573,7211,0.7532643894286013
Tennessee,Pickett,5,4,0.8
Tennessee,Scott,435,400,0.9195402298850575
Tennessee,Jackson,5564,3941,0.7083033788641265
Texas,Anderson,761,686,0.9014454664914586
Texas,Andrews,24,21,0.875
Texas,Angelina,210,181,0.861904761904762
Texas,San Patricio,117,101,0.8632478632478633
Texas,Aransas,42,36,0.8571428571428571
Texas,Atascosa,103,86,0.8349514563106796
Texas,Austin,43,36,0.8372093023255814
Texas,Bandera,25,17,0.68
Texas,Bastrop,112,103,0.9196428571428571
Texas,Bee,43,34,0.7906976744186046
Texas,Bell,646,483,0.7476780185758514
Texas,Bexar,5522,3769,0.682542557044549
Texas,Bosque,23,18,0.782608695652174
Texas,Bowie,258,222,0.8604651162790697
Texas,Brazoria,387,329,0.8501291989664083
Texas,Brazos,229,198,0.8646288209606987
Texas,Brewster,18,16,0.8888888888888888
Texas,Brooks,53,44,0.8301886792452831
Texas,Brown,236,207,0.8771186440677966
Texas,Burleson,44,41,0.9318181818181818
Texas,Caldwell,261,217,0.8314176245210728
Texas,Calhoun,825,680,0.8242424242424242
Texas,Cameron,648,486,0.75
Texas,Camp,28,26,0.9285714285714286
Texas,Cass,305,263,0.8622950819672132
Texas,Castro,14,13,0.9285714285714286
Texas,Chambers,175,144,0.8228571428571428
Texas,Cherokee,500,446,0.892
Texas,Childress,8,8,1
Texas,Cochran,3,3,1
Texas,Coleman,15,11,0.7333333333333333
Texas,Collin,303,252,0.8316831683168316
Texas,Colorado,47,40,0.851063829787234
Texas,Comal,88,70,0.7954545454545454
Texas,Cooke,67,51,0.7611940298507462
Texas,Coryell,45,41,0.9111111111111111
